student_id,concept_id,concept_name,mastery_score,mastery_level
0,4,Set,0.0,Yếu
0,6,Cartesian product,0.0,Yếu
0,7,Cardinality,0.0,Yếu
0,8,Equality,0.0,Yếu
0,9,union,0.0,Yếu
0,10,Intersection,0.0,Yếu
0,11,Difference,0.0,Yếu
0,12,Subset,0.0,Yếu
0,13,Tuple,0.0,Yếu
0,14,Relational data model,0.0,Yếu
0,15,Domain,0.0,Yếu
0,16,Attribute,0.0,Yếu
0,17,Relation,0.0,Yếu
0,18,Superkey,0.0,Yếu
0,19,Foreign key,0.0,Yếu
0,20,Schema,0.0,Yếu
0,21,SQL,0.0,Yếu
0,22,DDL,0.0,Yếu
0,23,Data type,0.0,Yếu
0,24,CREATE TABLE,0.0,Yếu
0,25,DROP TABLE,0.0,Yếu
0,26,ALTER TABLE,0.0,Yếu
0,27,Candidate key,0.0,Yếu
0,28,DML,0.0,Yếu
0,29,SELECT,0.0,Yếu
0,30,INSERT,0.0,Yếu
0,31,DELETE,0.0,Yếu
0,32,Query,0.0,Yếu
0,33,Join,0.0,Yếu
0,34,Primary Key,0.0,Yếu
0,35,SELECT DISTINCT,0.0,Yếu
0,36,GROUP BY,0.0,Yếu
0,37,COUNT,0.0,Yếu
0,38,MIN,0.0,Yếu
0,39,HAVING,0.0,Yếu
0,40,EXCEPT,0.0,Yếu
0,41,Inner Join,0.0,Yếu
0,42,Natural Join,0.0,Yếu
0,43,Left Join,0.0,Yếu
0,44,EXISTS,0.0,Yếu
0,45,Entity-Relationship Model,0.0,Yếu
0,46,Data structure,0.0,Yếu
0,47,Relationship,0.0,Yếu
0,48,Entity,0.0,Yếu
0,49,Total ,0.0,Yếu
0,50,Data integrity,0.0,Yếu
0,51,weak entity ,0.0,Yếu
0,52,Key attributes,0.0,Yếu
0,53,Enhanced Entity-Relationship,0.0,Yếu
0,54,Subclass,0.0,Yếu
0,55,Superclass,0.0,Yếu
0,56,Data Model,0.0,Yếu
0,57,Cardinality ratios,0.0,Yếu
0,58,Participation constraints,0.0,Yếu
0,59,Many-To-Many,0.0,Yếu
0,60,One-To-Many,0.0,Yếu
0,61,One-To-One,0.0,Yếu
0,63,partial,0.0,Yếu
0,64,Functional dependencies,0.0,Yếu
0,65,Trivial,0.0,Yếu
0,66,Closure,0.0,Yếu
0,67,Implied,0.0,Yếu
0,68,Equivalent,0.0,Yếu
0,69,Minimal Cover,0.0,Yếu
0,70,Prime Attribute,0.0,Yếu
0,71,Normalisation,0.0,Yếu
0,72,Lossless Join,0.0,Yếu
0,73,Dependency preservation,0.0,Yếu
0,74,Boyce-Codd normal form (BCNF),0.0,Yếu
0,75,Third normal form (3NF),0.0,Yếu
0,76,Relational Algebra,0.0,Yếu
0,77,Projection,0.0,Yếu
0,78,Selection,0.0,Yếu
0,79,Renaming,0.0,Yếu
0,80,Database Security,0.0,Yếu
0,81,Access Control,0.0,Yếu
0,82,Discretionary access control (DAC),0.0,Yếu
0,83,GRANT,0.0,Yếu
0,84,Mandatory Access Control (MAC),0.0,Yếu
0,85,SQL Injection,0.0,Yếu
0,86,REVOKE,0.0,Yếu
0,87,Specifying Privileges - Views,0.0,Yếu
0,88,Role-Based Access Control (RBAC),0.0,Yếu
0,89,Authentication,0.0,Yếu
0,90,Trojan Horse attacks,0.0,Yếu
0,91,Transactions,0.3942,Yếu
0,92,ACID Properties,0.0,Yếu
0,93,Isolation,4.0574,Tốt
0,94,Locking,0.0,Yếu
0,95,Concurrent Transactions,0.4639,Yếu
0,96,Two-Phase Locking (2PL) Protocol,0.4606,Yếu
0,97,Logging,0.3959,Yếu
0,98,The Dirty Read Problem,4.2233,Tốt
0,99,The Unrepeatable Read Problem,4.2233,Tốt
0,100,The Lost Update Problem,0.3934,Yếu
0,101,Read Uncommitted,0.6947,Yếu
0,102,Read Committed,4.0397,Tốt
0,103,Serializable,0.6251,Yếu
3,4,Set,0.0,Yếu
3,6,Cartesian product,0.0,Yếu
3,7,Cardinality,0.0,Yếu
3,8,Equality,0.0,Yếu
3,9,union,0.0,Yếu
